method,seconds,vram_total_mb,vram_free_start_mb,vram_allocated_start_mb,vram_reserved_start_mb,vram_free_end_mb,vram_allocated_end_mb,vram_reserved_end_mb,vram_peak_allocated_mb,vram_peak_reserved_mb,gpu_temp_start_c,gpu_temp_end_c,gpu_temp_peak_c,num_steps,num_frames,width,height,clip_sim,ssim,lpips,notes
Method 0: baseline (no optimizations),342.4610834121704,16302.5625,14923.0,0.0,0.0,0.0,4338.47021484375,31130.0,15517.13134765625,31130.0,31.0,30.0,59.0,25,25,1024,576,0.977395236492157,0.7195039540529251,0.16360979154706,no optimizations | baseline | fp16=True | seed=42 steps=25 frames=25
M1: quantization + mixed precision,269.89027428627014,16302.5625,14923.0,0.0,0.0,0.0,3668.14794921875,31558.0,14848.55908203125,31558.0,29.0,31.0,57.0,25,25,1024,576,0.9773410892486573,0.7184901237487793,0.16374727773169676,INT8 weight-only (UNet Linear) + FP16 | torchao Int8WeightOnlyConfig(group_size=64) применен к UNet Linear
M2: graph/hardware optimization,363.16467785835266,16302.5625,14923.0,0.0,0.0,0.0,4345.5068359375,34808.0,15519.91357421875,34808.0,28.0,32.0,59.0,25,25,1024,576,0.9774437308311462,0.7192176828781763,0.16382039338350296,torch.compile + TF32 | TF32 enabled + matmul_precision=high | torch.compile(unet) enabled
M3: fewer diffusion steps (15),201.06525421142578,16302.5625,14923.0,0.0,0.0,0.0,4338.47021484375,31130.0,15517.13134765625,31130.0,28.0,32.0,54.0,15,25,1024,576,0.974571349620819,0.737347645064195,0.1611465017000834,num_inference_steps=15
M3: fewer diffusion steps (10),251.3703474998474,16302.5625,14923.0,0.0,0.0,0.0,4338.47021484375,31130.0,15516.85009765625,31130.0,29.0,31.0,54.0,10,25,1024,576,0.9730436658859253,0.7668486684560776,0.15600915377338728,num_inference_steps=10
M3: fewer diffusion steps (4),166.76349782943726,16302.5625,14923.0,0.0,0.0,0.0,4338.47021484375,31130.0,15516.85009765625,31130.0,28.0,30.0,51.0,4,25,1024,576,0.8913348293304444,0.9787861183285713,0.08580505723754565,num_inference_steps=4
"M4: distillation (distilled weights, normal steps)",243.3569312095642,16302.5625,14923.0,0.0,0.0,0.0,4338.47021484375,31130.0,15517.13134765625,31130.0,28.0,31.0,58.0,25,25,1024,576,0.954589638710022,0.5432630255818367,0.23008535243570805,"AnimateLCM distilled UNet weights, but still many steps | Loaded AnimateLCM weights. missing=0 unexpected=0"
M5: structured sparsity (2:4),254.37670755386353,16302.5625,14923.0,0.0,0.0,0.0,4343.90966796875,31130.0,15522.57080078125,31130.0,28.0,31.0,54.0,25,25,1024,576,0.6112945079803467,1.0,0.0,2:4 semi-structured sparsity (cuSPARSELt) if supported | Applied SAFE 2:4 (cuSPARSELt=701) by forward-patching Linear: patched=4
M6: keyframes + RIFE interpolation,99.35935425758362,16302.5625,14923.0,0.0,0.0,0.0,4379.470703125,27216.0,15452.71728515625,27216.0,28.0,34.0,53.0,25,25,1024,576,0.9807650351524353,0.8086944023768107,0.12715286357949176,Generate 13 keyframes with diffusion + interpolate to 25 frames (RIFE)
M7: consistency / LCM (AnimateLCM-SVD-xt),178.75594925880432,16302.5625,14923.0,0.0,0.0,0.0,4338.470703125,31130.0,15516.8505859375,31130.0,30.0,30.0,52.0,4,25,1024,576,0.9297721099853515,0.7224935814738274,0.16693484783172607,AnimateLCM-SVD-xt + LCM scheduler | Loaded AnimateLCM weights. missing=0 unexpected=0 | LCM scheduler | steps=4
